x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
259;574;309;687;[     105.55      59.057      234.89];125.17;10.83;0;1;0;10.83;95.72;B;(0, 255, 0);8;9;284;630;910.22;551.33
92;444;153;548;[     62.227      55.743       129.3];73.92;111.51;0;3;0;73.92;95.72;A;(255, 0, 0);8;9;122;496;1121.62;528.5
1719;493;1761;606;[     104.16      79.085       140.9];41.61;95.54;0;4;0;41.61;95.72;A;(255, 0, 0);8;9;1740;549;1121.62;528.5
495;447;536;555;[     106.24      45.049      231.51];129.45;3.75;0;5;0;3.75;95.72;B;(0, 255, 0);8;9;515;501;910.22;551.33
855;466;906;550;[     98.228      37.394      233.73];135.7;14.16;0;6;0;14.16;95.72;B;(0, 255, 0);8;9;880;508;910.22;551.33
766;648;817;767;[     104.74      207.22       106.5];91.82;201.8;0;7;0;91.82;95.72;A;(255, 0, 0);8;9;791;707;1121.62;528.5
1138;415;1172;510;[     81.712      65.455         137];57.39;99.05;0;8;0;57.39;95.72;A;(255, 0, 0);8;9;1155;462;1121.62;528.5
415;663;456;783;[     109.43      57.017      226.97];119.37;9.88;0;9;0;9.88;95.72;B;(0, 255, 0);8;9;435;723;910.22;551.33
1316;599;1348;721;[     106.54      54.157      238.55];130.74;8.87;0;10;0;8.87;95.72;B;(0, 255, 0);8;9;1332;660;910.22;551.33
734;377;781;470;[     100.36      40.702      226.52];127.87;11.21;0;11;0;11.21;95.72;B;(0, 255, 0);8;9;757;423;910.22;551.33
863;552;905;664;[     174.38      202.45      161.47];117.34;182.06;0;12;0;117.34;95.72;X;(0, 0, 255);8;9;884;608;884.0;608.0
1008;527;1051;630;[     101.45      43.074      234.19];132.75;7.98;0;13;0;7.98;95.72;B;(0, 255, 0);8;9;1029;578;910.22;551.33
1511;471;1541;574;[      111.7       45.69      227.59];126.1;7.35;0;14;0;7.35;95.72;B;(0, 255, 0);8;9;1526;522;910.22;551.33
1858;366;1888;457;[     82.622      57.861      121.04];62.75;113.33;0;15;0;62.75;95.72;A;(255, 0, 0);8;9;1873;411;1121.62;528.5
1420;370;1448;465;[     104.21      40.281      227.67];129.03;9.57;0;16;0;9.57;95.72;B;(0, 255, 0);8;9;1434;417;910.22;551.33
